data,ug_mean,ug_max,ug_min,pollutionPM,ug_max2,
7/7/2016,61.24583333,136.8,27.6,22.4,136.8,136.8
7/8/2016,70.12083333,129.9,23.6,30.5,129.9,129.9
7/9/2016,37.06666667,61.3,20.9,25.2,61.3,61.3
7/10/2016,40.4375,55.4,27,21.3,55.4,55.4
7/11/2016,42.95416667,60.8,23.6,27.8,60.8,60.8
7/12/2016,53.08333333,73.9,27.9,36,73.9,73.9
7/13/2016,49.06666667,139.2,19.2,26,139.2,139.2
7/14/2016,33.6875,61.9,18.9,16.8,61.9,61.9
7/15/2016,44.2,60.8,19.3,15.2,60.8,60.8
7/16/2016,52.72916667,86.6,31.3,25.4,86.6,86.6
7/17/2016,53.15833333,102.8,29.6,23.5,102.8,102.8
7/18/2016,28.9875,50.9,8.3,25.6,50.9,50.9
7/19/2016,45.25416667,82,17.8,24.2,82,82
7/20/2016,51.39583333,125.4,25.9,23.6,125.4,125.4
7/21/2016,24.08333333,38.7,13.8,36.1,38.7,38.7
7/22/2016,36.77083333,82.2,14.7,26.8,82.2,82.2
7/23/2016,32.54583333,51.1,17.3,27.2,51.1,51.1
7/24/2016,37.45,77,15.7,28.4,77,77
7/25/2016,32.92916667,54.9,22,36.4,54.9,54.9
7/26/2016,45.8,87.8,29,45.4,87.8,87.8
7/27/2016,59.09583333,88,39.8,34.5,88,88
7/28/2016,79.3,117.8,29.5,41.1,117.8,117.8
7/29/2016,60.92916667,92.7,41.5,33.9,92.7,92.7
7/30/2016,55.27916667,78.6,42.4,31.7,78.6,78.6
7/31/2016,35.69166667,105.9,21.7,27,105.9,105.9
8/1/2016,33.4625,46.7,23.7,24.9,46.7,46.7
8/2/2016,34.00416667,69.5,18.9,28.6,69.5,69.5
8/3/2016,42.04583333,54,28.3,29.3,54,54
8/4/2016,31.775,50.7,21,32.5,50.7,50.7
8/5/2016,36.2125,76.9,25.1,31.9,76.9,76.9
8/6/2016,26.78333333,53.4,14.6,25,53.4,53.4
8/7/2016,28.875,40.8,22.2,17.7,40.8,40.8
8/8/2016,30.6,47.9,13.2,29.9,47.9,47.9
8/9/2016,29.97083333,50.4,18.3,40,50.4,50.4
8/10/2016,42.9375,80.7,20.1,21.9,80.7,80.7
8/11/2016,40.8,75.9,23.6,25.4,75.9,75.9
8/12/2016,34.9125,44.4,26.1,30.9,44.4,44.4
8/13/2016,76.36521739,125.5,35.9,33.5,125.5,125.5
8/14/2016,69.45833333,120.1,49.8,23.4,120.1,120.1
8/15/2016,44.55416667,95.7,21.8,19.4,95.7,95.7
8/16/2016,34.65416667,47.2,25.9,28.7,47.2,47.2
8/17/2016,31.27916667,45.3,20.6,31.8,45.3,45.3
8/18/2016,55.025,102.2,27.4,37.4,102.2,102.2
8/19/2016,39.1,51.8,26.8,37.2,51.8,51.8
8/20/2016,44.80833333,66,24,39.1,66,66
8/21/2016,27.29583333,65.3,15.5,31.9,65.3,65.3
8/22/2016,25.03157895,38.6,11.7,27.6,38.6,38.6
8/23/2016,30.65,50.3,21.6,36.3,50.3,50.3
8/24/2016,30.4125,42.6,23.7,30.8,42.6,42.6
8/25/2016,36.23333333,53.1,22.3,21.6,53.1,53.1
8/26/2016,34.63333333,58.2,23,29.2,58.2,58.2
8/27/2016,42.12916667,76.5,21.4,44.4,76.5,76.5
8/28/2016,42.2875,89.5,21.2,37.8,89.5,89.5
8/29/2016,38.49166667,100.9,21,44.6,100.9,100.9
8/30/2016,29.36666667,37.9,18.3,30.2,37.9,37.9
8/31/2016,27.64583333,43.8,15.7,47.5,43.8,43.8
9/1/2016,26.78333333,32.8,16.2,46.5,32.8,32.8
9/2/2016,34.50416667,52.6,20.3,51.4,52.6,52.6
9/3/2016,24.75,31.1,15.6,54.5,31.1,31.1
9/4/2016,16.7375,33,12.9,46.9,33,33
9/5/2016,19.46666667,35.4,11,22,35.4,35.4
9/6/2016,24.91666667,35.9,17.2,21.3,35.9,35.9
9/7/2016,42.44583333,88.3,14.4,62.2,88.3,88.3
9/8/2016,26.92916667,55.7,11.7,77,55.7,55.7
9/9/2016,30.5375,60.1,18.2,81.2,60.1,60.1
9/10/2016,31.41666667,82.2,15.8,68.6,82.2,82.2
9/11/2016,37.88333333,131.2,14.6,71.5,131.2,131.2
9/12/2016,24.75416667,30.5,19.8,63.2,30.5,30.5
9/13/2016,25.8375,41.2,13.8,65.4,41.2,41.2
9/14/2016,34.7,58,12.2,45,58,58
9/15/2016,40.92083333,60.8,29,64.8,60.8,60.8
9/16/2016,37.8125,116.3,23.5,85.4,116.3,116.3
9/17/2016,38.325,105.1,30.5,38.2,105.1,105.1
9/18/2016,38.44583333,52.6,29.1,24.4,52.6,52.6
9/19/2016,37.80833333,113.1,11.9,50.3,113.1,113.1
9/20/2016,27.89583333,47.9,8.2,71.7,47.9,47.9
9/21/2016,43.9625,68.6,18.8,43.8,68.6,68.6
9/22/2016,48.49166667,79.4,32.6,38.1,79.4,79.4
9/23/2016,29.8,54.8,22.6,60.7,54.8,54.8
9/24/2016,45.525,63.4,20.6,43.2,63.4,63.4
9/25/2016,68.83333333,195.8,34.2,22.8,195.8,195.8
9/26/2016,26.325,33.9,16.9,39,33.9,33.9
9/27/2016,24.95,36,12.6,52.3,36,36
9/28/2016,47.2875,85.1,23.4,100.5,85.1,85.1
9/29/2016,50.8125,81.6,30.4,62.1,81.6,81.6
9/30/2016,38.6875,64.7,16.4,74.4,64.7,64.7
10/1/2016,34.5625,60.1,13.1,44,60.1,60.1
10/2/2016,20.6875,31.4,11.9,46.9,31.4,31.4
10/3/2016,28.15,36.8,19.6,33,36.8,36.8
10/4/2016,34.87083333,60.8,16.4,53.7,60.8,60.8
10/5/2016,26.59583333,33,19.6,11.5,33,33
10/6/2016,18.40833333,28.4,10.4,20,28.4,28.4
10/7/2016,13.8875,23.4,5.2,40.3,23.4,23.4
10/8/2016,24.99166667,35.8,18.2,23.9,35.8,35.8
10/9/2016,23.17826087,29.9,17,28.7,29.9,29.9
10/10/2016,25.95,36,17.6,27.9,36,36
10/11/2016,24.35416667,37.2,14.7,13.3,37.2,37.2
10/12/2016,35.87916667,83.7,21.2,16.1,83.7,83.7
10/13/2016,23.73333333,45.5,12.6,34.3,45.5,45.5
10/14/2016,35.3125,100.7,15.7,35.8,100.7,100.7
10/15/2016,27.02083333,42.5,13.8,34.2,42.5,42.5
10/16/2016,26.7125,41.9,18,25.8,41.9,41.9
10/17/2016,28.98333333,36.8,22,26.9,36.8,36.8
10/18/2016,36.02083333,57.5,26.3,38.7,57.5,57.5
10/19/2016,44.05416667,66.3,27.2,51,66.3,66.3
10/20/2016,36.05,61.7,18.2,47.6,61.7,61.7
10/21/2016,40.10833333,53.4,26.7,31.6,53.4,53.4
10/22/2016,34.32083333,60.1,19,29.1,60.1,60.1
10/23/2016,22.8,38.8,12.1,39.1,38.8,38.8
10/24/2016,30.4375,41.1,19.9,34.8,41.1,41.1
10/25/2016,29.77916667,60.3,15.4,39.1,60.3,60.3
10/26/2016,28.32916667,52.4,15,44.7,52.4,52.4
10/27/2016,34.6,58,19.5,68.4,58,58
10/28/2016,28.45833333,51.3,10.2,50.2,51.3,51.3
10/29/2016,20.80416667,39.2,10.9,14.1,39.2,39.2
10/30/2016,30.40833333,48,18.9,13.8,48,48
10/31/2016,26.47083333,50.7,15.4,16.9,50.7,50.7
11/1/2016,23.29166667,34.6,16.9,20.4,34.6,34.6
11/2/2016,22.37826087,34.2,16.6,33,34.2,34.2
11/3/2016,23.90416667,41.2,13.8,23.9,41.2,41.2
11/4/2016,31.1375,61.4,22.5,76,61.4,61.4
11/5/2016,33.75,48.9,23.6,53.2,48.9,48.9
11/6/2016,23.72083333,32.4,17.8,40.1,32.4,32.4
11/7/2016,18.51666667,24.9,14.2,42.3,24.9,24.9
11/8/2016,27.59583333,54.3,11.3,51.4,54.3,54.3
11/9/2016,32.80416667,57.6,14.6,44.6,57.6,57.6
